ID,WF_ID,SALARY_MONTH,STARTDATE,ENDDATE,PAID_DAYS,OVERTIME_HOURS,TOTAL_LEAVE_TAKEN_CURRENT_MONTH,LEAVE_CARRY_FORWARD,TOTAL_LEAVE_AVAILABLE,LEAVE_ADJUSTED,LEAVE_BALANCE,LEAVE_DEDUCTION,BASIC_DA,HRA,SPECIAL_ALLOWANCES,ACTUAL_BASIC_DA,ACTUAL_HRA,ACTUAL_SPECIAL_ALLOWANCES,PRODUCTION_INCENTIVE_BONUS,PF,ESI,TDS,SHOP_FLOOR_FINE,OTHER_DEDUCTION,ADVANCE,OVERTIME_WAGES,WORKINGDAY_WAGES,TOTAL_WAGES,TOTAL_WAGES_AFTER_DEDUCTION,EMPLOYER_EPF,EMPLOYER_ESI,ADMIN_CHARGES,EDLI_CHARGES,CREATED_ON,MODE_OF_PAYMENT,PAID_STATUS
2092E6DA-42E0-EB11-A40F-08F1EAEF4310,F13555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,1.00,0.00,30,0,1,1,0,29,8758.00,0.00,876.00,337.00,0.00,34.00,0.00,45.00,3.00,0.00,0.00,0.00,0.00,0.00,371.00,371.00,323.00,45.00,12.06,1.86,1.86,2021-07-09 04:48:59.820,,UnPaid
2192E6DA-42E0-EB11-A40F-08F1EAEF4310,F23555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,1.00,0.00,30,0,1,1,0,29,10791.00,4316.00,195.00,415.00,166.00,8.00,0.00,51.00,4.00,0.00,0.00,0.00,0.00,0.00,589.00,589.00,534.00,51.00,19.14,2.12,2.12,2021-07-09 04:48:59.897,,UnPaid
2292E6DA-42E0-EB11-A40F-08F1EAEF4310,F43555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,23.00,92.77,4,0,1,1,0,3,9634.00,0.00,834.00,8522.00,0.00,738.00,4914.00,1111.00,106.00,0.00,0.00,0.00,0.00,4669.00,9260.00,9260.00,12957.00,1111.00,460.66,46.30,46.30,2021-07-09 04:49:00.617,,UnPaid
2392E6DA-42E0-EB11-A40F-08F1EAEF4310,F53555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,20.98,83.23,4,0,1,1,0,3,10791.00,1873.00,0.00,8708.00,1511.00,0.00,5322.00,1045.00,117.00,0.00,0.00,0.00,0.00,5067.00,10219.00,10219.00,14379.00,1045.00,505.08,43.54,43.54,2021-07-09 04:49:01.397,,UnPaid
8325FBE0-42E0-EB11-A40F-08F1EAEF4310,F63555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,25.00,95.92,2,0,1,1,0,1,10791.00,0.00,289.00,10376.00,0.00,278.00,5280.00,1278.00,120.00,0.00,0.00,0.00,0.00,5110.00,10654.00,10654.00,14536.00,1278.00,517.86,53.27,53.27,2021-07-09 04:49:02.193,,UnPaid
8425FBE0-42E0-EB11-A40F-08F1EAEF4310,F73555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,106.92,1,0,1,1,0,0,8758.00,0.00,876.00,8758.00,0.00,876.00,5122.00,1156.00,111.00,0.00,0.00,0.00,0.00,4952.00,9634.00,9634.00,13489.00,1156.00,479.57,48.17,48.17,2021-07-09 04:49:02.973,,UnPaid
8525FBE0-42E0-EB11-A40F-08F1EAEF4310,F83555F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,22.93,64.58,3,0,1,1,0,2,8758.00,0.00,876.00,7724.00,0.00,773.00,2991.00,1020.00,86.00,0.00,0.00,0.00,0.00,2991.00,8497.00,8497.00,10382.00,1020.00,373.36,42.48,42.48,2021-07-09 04:49:03.693,,UnPaid
8625FBE0-42E0-EB11-A40F-08F1EAEF4310,2E3655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,21.00,65.65,6,0,1,1,0,5,8758.00,0.00,348.00,7074.00,0.00,281.00,2874.00,883.00,77.00,0.00,0.00,0.00,0.00,2874.00,7355.00,7355.00,9269.00,883.00,332.44,36.78,36.78,2021-07-09 04:49:04.397,,UnPaid
8725FBE0-42E0-EB11-A40F-08F1EAEF4310,7E3655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,2.00,0.00,2,5,6,2,4,0,10791.00,3301.00,0.00,830.00,254.00,0.00,0.00,100.00,8.00,0.00,0.00,0.00,0.00,0.00,1084.00,1084.00,976.00,100.00,35.23,4.15,4.15,2021-07-09 04:49:05.020,,UnPaid
8825FBE0-42E0-EB11-A40F-08F1EAEF4310,7F3655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,2.00,0.00,2,5,6,2,4,0,10791.00,3442.00,0.00,830.00,265.00,0.00,0.00,100.00,8.00,0.00,0.00,0.00,0.00,0.00,1095.00,1095.00,987.00,100.00,35.59,4.15,4.15,2021-07-09 04:49:05.083,,UnPaid
